scenario,cost_att1,cost_att3
76,114622.81963787373,113159.84475569233
77,110239.02313411384,110239.02313411384
78,107052.53102536022,107052.53102536022
79,113655.4289667586,113655.4289667586
80,108957.11301156733,108957.11301156733
81,187965.97251,178530.65627599997
82,108845.79815156655,108845.79815156655
83,114930.98481114968,114367.76160600001
84,112813.1342237751,109581.9722095377
85,115873.9121988826,115873.9121988826
86,187965.97251,115340.97283769227
87,112461.03668009432,112461.03668009432
88,187965.97251,112268.29005499999
89,187965.97251,187848.84884999998
90,117913.1476770189,117913.1476770189
91,187965.97251,121354.02553252615
92,187965.97251,175667.5752145
93,118325.35741301074,115575.70001029519
94,118325.35741301074,118325.35741301074
95,118325.35741301074,118325.35741301074
96,117983.41038112521,117983.41038112521
97,187965.97251,120054.86162570344
98,120054.86162570344,120054.86162570344
99,120121.11255483642,120054.86162570344
100,118820.29170719076,118820.29170719076
101,109813.74497541634,109813.74497541634
102,183417.966324,182617.914524
103,118820.29170719076,118820.29170719076
104,118901.18725999481,118901.18725999481
105,114613.40189667692,114613.40189667692
106,114658.55355181696,114613.40189667692
107,114613.40189667692,114612.90697679168
108,187965.97251,187547.00939300001
109,187965.97251,177602.32505
110,106906.80160048377,106906.80160048377
111,107774.2109783677,107774.2109783677
112,187965.97251,110288.86448831487
113,107834.20470799295,105995.28810957297
114,107834.20470799295,107834.20470799295
115,112606.50408536971,112606.50408536971
116,109917.77647208089,104463.214975
117,110002.19721046941,110002.19721046941
118,110002.19721046941,110002.19721046941
119,96662.82439040783,96662.82439040783
120,106609.86926905546,106609.86926905546
121,106869.40806073947,106869.40806073947
122,104143.75600399355,104143.75600399355
123,104143.75600399355,101130.9968870326
124,187965.97251,181111.75218775
125,104005.79512296892,102713.21079064535
126,106646.0544296847,106646.0544296847
127,106904.9681922206,106208.92717802468
128,104293.25108526251,104293.25108526251
129,163140.71274850002,105680.77937741655
130,102561.33727121766,102561.33727121766
131,187965.97251,187165.92070999998
132,102754.44503376995,102754.44503376995
133,98885.75021647695,98885.75021647695
134,183056.009632,177976.752475
135,102467.53194067274,102467.53194067274
136,100487.57116493079,98295.23372399999
137,102491.76924341035,102291.97693319063
138,103803.98412767406,103803.98412767406
139,107715.83380299783,107475.23418159728
140,110000.72525325454,110000.72525325454
141,107719.98843508218,107719.98843508218
142,107719.98843508218,107719.98843508218
143,187965.97251,167417.32903000002
144,187757.133272,108626.81517383033
145,187965.97251,165861.6667625
146,111070.38751734678,111070.38751734678
147,111932.88127759055,111932.88127759055
148,111932.88127759055,110497.40904416173
149,111756.36807818868,111756.36807818868
150,103606.67103038,102306.17541608
151,187915.17658,172894.45350499998
152,107069.71543755011,107069.71543755011
153,115385.38180231591,111683.02408416933
154,183626.76408,115545.648502
155,115385.38180231591,115385.38180231591
156,109993.8678153074,109993.8678153074
157,116307.73590613293,116193.67216334035
158,113789.19480814379,113789.19480814379
159,113759.88033363811,113759.88033363811
160,113789.19480814379,113789.19480814379
161,113789.19480814379,113789.19480814379
162,117519.5468290703,117519.5468290703
163,117589.397728161,117589.397728161
164,117641.70239630347,117641.70239630347
165,108249.38396139132,108249.38396139132
166,115580.54157304588,115580.54157304588
167,118052.10248923876,118052.10248923876
168,117001.79789799958,117001.79789799958
169,119190.18186090213,119190.18186090213
