scenario,time_att1,time_att3
164,1.4328889846801758,6.553116083145142
165,1.258357048034668,5.325686931610107
166,1.4143180847167969,4.634956121444702
167,1.3903889656066895,5.292922735214233
168,1.7338759899139404,5.667187929153442
169,1.8001317977905273,5.998860836029053
170,1.5341310501098633,5.343063116073608
171,1.3676960468292236,5.097321033477783
172,1.5329599380493164,4.714392900466919
173,1.6342251300811768,5.619944334030151
174,1.4377598762512207,5.023275852203369
175,1.5281338691711426,4.916695833206177
176,1.427819013595581,4.9090728759765625
177,1.943084955215454,5.630852937698364
178,1.527730941772461,5.21819806098938
179,1.4127438068389893,5.119715929031372
180,1.381256103515625,5.11996603012085
181,1.4062261581420898,5.383130073547363
182,1.5711510181427002,5.263912200927734
183,1.423429250717163,5.317218065261841
184,1.3371667861938477,4.608899831771851
185,1.5286619663238525,4.417263031005859
186,1.3806419372558594,4.961133003234863
187,1.372999906539917,4.574296712875366
188,1.8554632663726807,5.6992082595825195
189,1.3194191455841064,5.213376998901367
190,1.3485307693481445,5.527698040008545
191,1.605647087097168,4.782043933868408
192,1.4550831317901611,5.148385047912598
193,1.3215820789337158,5.011765956878662
194,1.529479742050171,4.870246887207031
195,1.575974941253662,5.489511966705322
196,1.3024449348449707,4.787197828292847
197,1.3706049919128418,4.609611988067627
198,1.4285359382629395,5.322729825973511
199,2.2746591567993164,6.145496129989624
200,1.8270959854125977,5.005772113800049
201,1.5294280052185059,5.3309667110443115
202,1.6252951622009277,5.616725206375122
203,1.4341778755187988,5.3238420486450195
204,1.4318428039550781,5.633894920349121
205,1.3250138759613037,3.7379677295684814
206,1.4771192073822021,4.452331066131592
207,1.3206839561462402,4.918283939361572
208,1.4188258647918701,5.378981113433838
209,1.2584171295166016,4.389300107955933
210,1.9856500625610352,4.9485039710998535
211,1.5473089218139648,5.086950778961182
212,1.4971907138824463,4.792080879211426
213,1.4039881229400635,4.869039297103882
214,1.3240609169006348,4.8063271045684814
215,1.4394309520721436,5.219563961029053
216,1.6628820896148682,6.549945116043091
217,1.2304341793060303,5.347342014312744
218,1.3641207218170166,4.356889724731445
219,1.1690471172332764,4.629538059234619
220,1.3020508289337158,5.082528114318848
221,1.360330581665039,4.469353914260864
222,1.4983620643615723,4.717648029327393
223,1.5189001560211182,5.34520697593689
224,2.1837377548217773,5.665939807891846
225,1.5294690132141113,4.819962024688721
226,1.4202687740325928,5.314339637756348
227,1.2883272171020508,5.2182042598724365
228,1.2680110931396484,4.719014883041382
229,1.2774529457092285,5.313095808029175
230,1.8381922245025635,5.725308179855347
231,1.5350992679595947,5.954202175140381
232,1.5221400260925293,5.106548070907593
233,1.3856127262115479,5.463910818099976
234,1.4463191032409668,5.299792051315308
235,1.466653823852539,5.036819934844971
236,1.5899131298065186,6.095843076705933
237,1.6589901447296143,5.70012903213501
238,2.0427658557891846,6.033583879470825
239,1.5801150798797607,4.691272258758545
240,1.5862751007080078,5.989825963973999
241,1.936391830444336,5.52585768699646
242,1.6185650825500488,5.327615022659302
243,1.8691132068634033,5.935404062271118
244,1.8359568119049072,5.670964956283569
245,1.4859769344329834,5.494642972946167
246,1.20867919921875,5.002644062042236
247,1.532655954360962,5.258586883544922
248,1.590376853942871,5.555315017700195
249,1.3577477931976318,6.786621809005737
250,1.8531010150909424,5.939709901809692
251,1.5271852016448975,6.448903322219849
252,1.3263649940490723,4.912006855010986
253,1.635246753692627,5.837533950805664
254,1.6039507389068604,5.037503957748413
255,1.428997278213501,5.521498203277588
256,5.11394190788269,9.92225980758667
257,1.7218658924102783,7.476300001144409
258,1.6877827644348145,6.0175158977508545
259,1.9339981079101562,5.41820216178894
260,1.6415228843688965,5.833364009857178
261,1.599609136581421,5.53673529624939
262,1.4350481033325195,5.107605934143066
263,1.4799742698669434,4.400170087814331
264,1.4288127422332764,5.226155757904053
265,1.4857077598571777,4.7921271324157715
266,1.358550786972046,4.845655918121338
267,1.3025331497192383,4.552689075469971
268,1.5770859718322754,5.154568910598755
269,2.0182759761810303,6.018838882446289
270,1.6359763145446777,6.686359167098999
271,1.4405848979949951,4.567353010177612
272,1.3148040771484375,5.211617946624756
273,1.5371601581573486,5.322603940963745
274,1.547851800918579,5.787638902664185
275,1.8794949054718018,5.8782830238342285
276,1.3245980739593506,5.022485017776489
277,1.619706153869629,6.501291990280151
278,1.7827157974243164,5.481052875518799
279,1.3291270732879639,4.6883158683776855
280,1.7440831661224365,5.423558235168457
281,1.6643569469451904,5.2941648960113525
282,1.3618228435516357,5.882113933563232
283,1.9805009365081787,6.732880115509033
284,1.3268101215362549,4.953015089035034
285,1.7950890064239502,5.896963834762573
286,1.4939088821411133,5.016295909881592
287,1.8821589946746826,5.933645009994507
288,1.6068658828735352,5.5202476978302
289,1.533416986465454,5.630203723907471
